label,content
0,괜찮으시다면 다음 주 화요일에 들르겠습니다
0,--때문에 사과해야겠습니다
0,서류를 준비하는 데 이주일이 필요합니다
0,목요일이 괜찮겠습니까
0,좀더 생각해 보겠습니다. 고맙습니다
0,여기 제 명함이 있습니다. 주소가 적혀 있지요
0,오전 8시 15분입니다
0,한국에 전신으로 10 000달러를 송금하고 싶습니다
0,그럼  당신이 회사로부터 비디오 카메라 500개의 구입건에 대해 이야기를 시작해 봅시다
0,이 가방은 튼튼하게 만들어졌습니까
0,저야말로 감사합니다
0,신용 카드로 전화를 걸고 싶습니다
0,크리스마스를 축하합니다
0,그럴 기분이 아닙니다
0,점심 시간을 가지다
0,보통석으로 하겠습니다
0,저의 견해는 조금 다릅니다
0,전화해 주셔서 감사합니다. 그에게 꼭 당신의 메시지를 전하겠습니다
0,새로운 화제로 넘어갑시다
0,파크가로 가려면 어느 길이 가장 좋을까요
0,신입 사원의 경우  첫 일년은 7일간입니다
0,만나서 기쁩니다
0,그곳에 가려면 무엇을 타야 할까요. 지하철입니까  아니면 버스입니까
0,전부터 물어 보려고 했어요
0,자넨 어떤가
0,전데요
0,그 말을 들으니 기쁩니다
0,20퍼센트 할인해 주실 수 있습니까
0,저희는 주로 가전 제품을 생산하고 있습니다
0,수원행 열차를 타시고 두번째 역인  구로에서 열차를 바꿔 타십시오
0,체류를 연장하고 싶습니다
0,한국으로부터 수신인 지불 통화 요청이 들어와 있는데요
0,좀 더 싼 객실이 있습니까
0,한 잔 더 어때요
0,그 말을 들으니 유감스럽습니다
0,곧 그곳에 가겠습니다
0,안내계는 몇 번 다이얼을 돌려야 합니까
0,어떻게 지내십니까
0,공중 전화가 어디에 있습니까
0,이 일에 착수하기 전에 석달 정도의 준비 기간이 필요합니다
0,저는 우리가 세계 경제에 있어서 공정한 책임을 져야 한다고 생각합니다
0,수화기를 놓고 계십시오
0,성함을 알려 주시겠습니까
0,한국에서는 많은 공업용 부품들이 하청 업자들에 의해 만들어진다고 들었습니다. 그것이 사실입니까
0,오늘 저녁 할 일이 있으십니까
0,사실은 윤숙이란 이름을 가진 사람이 두 사람인데요. 이윤숙을 찾으십니까 아니면 박윤숙입니까
0,어떤 종류의 음악을 가장 좋아하세요
0,싱글 트윈로 예약했습니다
0,그의 영화는 4개 부분의 아카데미상을 수상했습니다
0,괜찮으시다면  통역자를 쓰겠습니다
0,네  오전 9시나 오후 3시에 시간이 있습니다
0,오후 2시 반입니다
0,환불 기한을 경과하면 일정한 이자를 지불하라는 요구를 받습니다
0,그그녀는 오늘 비번입니다쉽니다
0,우리 회사에는 몇 명의 김 씨가 있는데요. 성과 이름을 모두 알 수 있습니까
