label,content
0,6시 반이 다 되 갑니다
0,이것이 제가 원하던 것입니다
0,보통 우리는 9시에서 6시까지 하루에 8시간 근무합니다
0,여기서 담배를 피울 수 있습니까
0,아스토리아 호텔 레스토랑에서 스테이크를 드셔 볼 것을 권합니다
0,-라고 들었습니다
0,그러면  판매 전략으로 옮겨가 봅시다
0,언제 될까요
0,누구십니까
0,안녕히. 내일 사무실에서 봅시다
0,지도를 좀 그려 주시겠습니까
0,글쎄요  좋은 질문입니다만  솔직히 말씀드려서 아직 그 문제에 대해서는 결정하지 못했습니다
0,결론에 이르다
0,한국으로 수신인 지불로 국제 통화를 하고 싶은데요
0,저희 회사는 --에 창립되었습니다
0,탈춤에 대해 들어보셨습니까
0,어제 이곳에서 산 이 재킷을 바꾸고 싶습니다
0,이제 제발 그만두게나
0,곧 돌아오겠습니다
0,코가 막혔습니다
0,용무에 필요한 문구류는 어디에 있습니까
0,죄송하지만  미스터 강은 지금 외출했습니다
0,무언가 재미있는 것을 생각해 봅시다
0,* 어지러움  빈혈
0,S사의 미스터 리입니다
0,당신이 편하다면 언제라도 저는 좋습니다
0,기꺼이
0,그의 타율은 어떻습니까
0,지금 주문해도 될까요
0,다른 말로 다시 설명해 주시겠어요
0,무엇을 해 드릴까요
0,미안합니다. 이해가 안됩니다
0,--의 전제 조건은 ...입니다
0,여보세요  전 미스터 한입니다. 미스터 브라운과 통화할 수 있을까요
0,제 이름은 박영민입니다. 예약을 했는데요
0,그 얘기를 듣고 안심했습니다
0,--p 값을 내리다
0,이것은 노란 색과 갈색으로 생산됩니다
0,블랙으로 주십시오
0,우리는 3일간의 교섭 끝에 결론에 도달했습니다
0,교환 부탁합니다
0,닷새 더 체류를 연장하고 싶습니다
0,하여튼  그 일에 대해서는 즉각 어떠한 말씀도 들리 수 없습니다
0,이것을 달러로 바꿔 주십시오
0,어느 정도 기다려야 합니까
0,그거예요
0,어서 들어오십시오
0,미스터 화이트  그 점에 있어서는 당신에게 동의할 수 없는데요
0,바로 접니다
0,아니오  그렇게 생각지 않아요
0,미안합니다. 전화를 잘못 걸었습니다
0,정말 맛있는 저녁을 먹었습니다
0,저를 위해 --에 가 주시겠어요
0,파크가로 가려면 어느 길이 가장 좋을까요
0,참 안됐네요
0,한국인은 대략 10명에 1명 꼴로 차를 소유하고 있습니다
0,전화하신 분은 누구십니까
0,넥타이는 어디에서 팝니까
0,그들은 노래방에서 노래를 부름으로써 피로를 풉니다
0,안됐습니다. 몸조리 잘하십시오
0,그가 몇 시쯤 돌아올 지 아십니까
0,가죽 재킷을 볼 수 있을까요
0,좀더 싼 것이 있습니까
0,그 그녀는 지금 자리에 없습니다
0,저렴한 가격의 식당을 알려 주시겠습니까
0,월요일이 좋으시겠습니까
0,신년을 축하합니다
0,직원
0,그는 오늘 쉽니다
0,만나서 즐거웠습니다
0,그러한 곳이 있습니까
0,그것은 아주 잘 어울리십니다
0,몇 시에 회의합니까
0,도와 드릴까요
0,만나서 반갑습니다
0,--에 대해서는
0,방을 바꾸고 싶습니다
0,다른 날이 좋겠습니까
0,내주 초에 맹장 수술을 받게 되었습니다
0,그 점에서 당신의 말에 전적으로는 동의하지 않습니다
0,저야말로 감사합니다
0,괜찮다면 한번 더 말씀해 주시겠어요
0,공항이 어디에 있는지 아십니까
0,--에 대해 좀더 상세하게 알고 싶습니다
0,유감입니다만  그것은 불가능합니다
0,큰일이군! 저런
0,다음 주 토요일에 파티를 열 예정입니다
0,단지 250원입니다
0,미국의 어디에서 계실건가요
0,몇 시에 체크인숙박 수속합니까
0,최선을 다해 보죠
0,합의에 이르다
0,--와 계약서에 서명하다
0,피에르 가르뎅 가방이 있습니까
0,순이익은 3 000달러입니다
0,언제 여기에 오실 계획입니까
0,최후 결정을 내리기 전에 신제품에 대한 잠재 수요를 확인해 보기 위하여 좀더 시장 조사를 해 봐야 한다고 생각합니다
0,여행자 수표를 현금으로 바꾸고 싶습니다
0,교환에게 걸려면 몇 번을 돌려야 합니까
0,렌터카 영업소회사는 어디에 있습니까
0,확신해요
0,전혀 문제가 되지 않아요
0,농담이시죠
0,다음 기회에 오실 수 있기를 바랍니다
0,만사서 반갑습니다. 미스터 리
0,뭔가 좀 마실래요
0,어떤 직업을 갖고 계십니까
0,감기가 나았습니다
0,커피를 어떻게 드십니까  설탕과 크림을 넣으시나요
0,그것을 표결에 부칩시다
0,그는 독감으로 누워 있습니다
0,아주 좋습니다  감사합니다
0,좋은 소식이군요. 당신을 만나기를 고대하고 있겠습니다
0,한잔하러 가지 않을래요
0,보통 월요일에서 금요일까지 영업합니다
0,아시겠어요
0,한 대당 천오백 달러 이상은 낼 수 없습니다
0,--으로부터 교훈을 얻다
0,초대해 주셔서 감사합니다
0,알겠습니다. 성함과 주소와 전화 번호를 알려 주십시오
0,기다려야 할까요
0,우리는 일행이 5명입니다. 테이블이 있습니까
0,불행하게도 감기에 걸려서 오늘 저녁에 당신을 만나러 가지 못하겠습니다
0,이것은 금반지입니까
0,그런데  부탁하고 싶은 것이 있는데요
0,--을 알려 드리겠습니다
0,보통  9시에서 6시까지 일합니다
0,--의 목적으로 여기에 왔습니다
0,--의 대안으로
0,출발 시간은 5시 30분입니다
0,미시즈 김을 당신에게 소개해도 되겠습니까
0,매리 있나요
0,채널 9에서 야구 중계를 하고 있어요
0,어느 것이 더 튼튼합니까
0,고맙지만 그냥 구경만 하고 있습니다
0,아메리칸 극장으로 가려면 어느 길로 가야 합니까
0,오  아무것도 아닌 걸요
0,마지막 열차 버스를 탈 수 있을까요
0,죄송해요  늦었군요
0,보고서를 제출하는 데는 마감 시간이 있습니다
0,그것을 하고 싶지 않다
0,몇 시에 개점합니까
0,내일 오셔서 저녁을 함께 드시지 않겠어요
0,구내 123번 부탁합니다
0,무엇이 잘못됐나요
0,우리를 초대해 주어서 고맙습니다
0,퇴근 후  서울의 젊은이들은 약간의 휴식을 얻기 위해 자신들이 좋아하는 다방에 종종 들립니다
0,전화를 걸어 주시겠습니까
0,저는 우리가 세계 경제에 있어서 공정한 책임을 져야 한다고 생각합니다
0,이것은 두 병에 5000원입니다
0,룸 서비스를 부탁합니다
0,길을 잃었는데요. 당신은 이 지역을 잘 아십니까
0,좋아요  수요일엔 시간을 비워 두세요
0,오늘 저녁 할 일이 있으십니까
0,그곳은 역에서 걸어서 5분 정도의 거리입니다
0,이것들은 100p 실크입니다
0,오늘의 환율은 얼마입니까
0,네  물론이죠. 언제라도 들르세요. 저는 하루 종일 오후 사무실 집에 있을 겁니다
0,중심가로 가려면 이 길이 맞습니까
0,다른 조건들은 협상을 진척시키면서 상담할 수 있습니다
0,이것은 저것의 2배 크기로군요
0,여기에 기입해 주십시오
0,이 특정 문제에 대해 질문이 있습니까
0,원의 대달러 환율은 얼마입니까
0,지하철을 타고 가는 것외에 다른 방법은 없습니까
0,100달러짜리로 바꿔 주십시오
0,와 주셔서 감사합니다
0,어떤 종류의 가죽입니까
0,기다려 주셔서 감사합니다. 그분은 곧 나오실 겁니다
0,음악은 잘 모릅니다
0,우리가 전에 말했던 것처럼
0,화장실은 사용중입니까
0,20 달러 정도입니다
0,실례합니다. 미스터 화이트. 여기에 서명해 주시겠습니까
0,지금 퇴출 수속을 하겠습니다. 계산서를 주십시오
0,전 오전오후이 좋습니다
0,지금 퇴출 수속을 하고 싶습니다. 계산서를 주시겠습니까
0,이것은 진짜 가죽입니다
0,말하기 어렵군요. 많은 요인이 내재해 있거든요
0,미안합니다. 이제 떠나야겠습니다
0,믿을 수 없어
0,오늘 오후는 한가합니다
0,백만 달러라구요! 큰 부자시군요
0,의제의 다음 항목은 시장 전략에 대한 것입니다
0,왜 그런 말을 하십니까
0,그는 중앙으로 3루타1루타  2루타를 쳤습니다
0,숙박료는 1박에 얼마입니까
0,저는 우표 수집에 깊은 관심을 갖고 있습니다
0,그 외에  기술적인 노하우료와 기사와 기술자들을 채용하기 위한 부대 비용의 지출이 필요합니다
0,국제 시장의 평균 쌀 시세는 한국의 1/
0,두 번째 모퉁이에서 오른쪽으로 돌면 바로 앞에 있습니다
0,검은 색의 것이 더 좋습니다
0,당연하죠
0,그 사고에 충격을 받았습니다
0,정말 가셔야 합니까
0,그리 나쁘지는 않습니다
0,도와주셔서 감사합니다
0,몇 시에 체크아웃할 겁니까
0,저의 견해는 조금 다릅니다
0,집에서 그곳에 갈 수 있을까요
0,이것이 좋습니다
0,직장 동료와 사귀는 것은 우리에게 있어 아주 중요합니다
0,다른 날 약속하는 게 좋을 것 같군요
0,여기에서 내려 주십시오
0,지불 조건을 말씀해 주십시오
0,여러 번 요청했음에도 불구하고
0,피아노를 치십니까
0,이 재킷은 제게 맞지 않습니다
0,직원
0,우리 집에 들러 주세요
0,미안하지만  말씀하시는 뜻을 모르겠어요
0,일이 바쁠 때엔  종종 두세 시간 정도 잔업을 합니다
0,특별히 좋아하는 유형이 있으신가요
